Pos,Cidade,PIB
1º,São Paulo,"R$ 714.683,362"
2º,Osasco,"R$ 76.609,046"
3º,Campinas,"R$ 61.397,263"
4º,Guarulhos,"R$ 61.325,724"
5º,São Bernardo do Campo,"R$ 50.568,693"
6º,Barueri,"R$ 50.566,644"
7º,Jundiaí,"R$ 43.632,891"
8º,São José dos Campos,"R$ 39.697,501"
9º,Sorocaba,"R$ 35.015,188"
10º,Ribeirão Preto,"R$ 34.327,544"
11º,Paulínia,"R$ 32.690,878"
12º,Santo André,"R$ 28.994,686"
13º,Piracicaba,"R$ 26.421,072"
14º,Santos,"R$ 22.476,976"
15º,São José do Rio Preto,"R$ 17.542,485"
16º,Taubaté,"R$ 17.267,226"
17º,Cajamar,"R$ 16.970,111"
18º,Indaiatuba,"R$ 15.596,305"
19º,Mogi das Cruzes,"R$ 15.386,499"
20º,Mauá,"R$ 15.287,483"
21º,Diadema,"R$ 14.671,971"
22º,Bauru,"R$ 14.642,061"
23º,Sumaré,"R$ 14.438,898"
24º,Ilhabela,"R$ 14.401,225"
25º,São Caetano do Sul,"R$ 13.440,728"
26º,Embu das Artes,"R$ 13.248,193"
27º,Limeira,"R$ 13.192,025"
28º,Cubatão,"R$ 13.183,239"
29º,Hortolândia,"R$ 13.116,393"
30º,Jacareí,"R$ 12.705,393"
31º,Cotia,"R$ 12.534,569"
32º,Itapevi,"R$ 12.172,061"
33º,Jaguariúna,"R$ 11.529,844"
34º,Americana,"R$ 11.332,408"
35º,São Carlos,"R$ 11.173,000"
36º,Suzano,"R$ 11.147,866"
37º,Louveira,"R$ 10.963,452"
38º,Franca,"R$ 9.992,981"
39º,Rio Claro,"R$ 9.799,856"
40º,Araraquara,"R$ 9.409,114"
41º,Vinhedo,"R$ 9.276,684"
42º,Santana de Parnaíba,"R$ 9.235,463"
43º,Pindamonhangaba,"R$ 8.616,942"
44º,Guarujá,"R$ 8.599,009"
45º,Taboão da Serra,"R$ 8.378,881"
46º,Marília,"R$ 8.082,306"
47º,Presidente Prudente,"R$ 7.994,539"
48º,Itu,"R$ 7.831,498"
49º,Araçatuba,"R$ 7.349,421"
50º,Salto,"R$ 7.310,874"
51º,Itaquaquecetuba,"R$ 7.212,560"
52º,Atibaia,"R$ 7.140,404"
53º,Praia Grande,"R$ 7.041,818"
54º,Itupeva,"R$ 6.690,186"
55º,Bragança Paulista,"R$ 6.305,507"
56º,Valinhos,"R$ 6.199,567"
57º,Arujá,"R$ 6.155,414"
58º,Itatiba,"R$ 6.051,184"
59º,Santa Bárbara d'Oeste,"R$ 5.929,776"
60º,Mogi Guaçu,"R$ 5.873,500"
61º,Carapicuíba,"R$ 5.745,311"
62º,Guaratinguetá,"R$ 5.672,184"
63º,Araras,"R$ 5.565,138"
64º,Sertãozinho,"R$ 5.496,321"
65º,São Vicente,"R$ 5.450,049"
66º,Barretos,"R$ 4.859,369"
67º,Itapetininga,"R$ 4.754,148"
68º,Jaú,"R$ 4.733,100"
69º,Cabreúva,"R$ 4.677,142"
70º,Poá,"R$ 4.660,371"
71º,Amparo,"R$ 4.646,510"
72º,Botucatu,"R$ 4.623,409"
