Pos,Cidade,População
1º,São Paulo,11253503.0
2º,Guarulhos,1221979.0
3º,Campinas,1080113.0
4º,São Bernardo do Campo,765463.0
5º,Santo André,676407.0
6º,Osasco,666740.0
7º,São José dos Campos,629921.0
8º,Ribeirão Preto,604682.0
9º,Sorocaba,586625.0
10º,Santos,419400.0
11º,Mauá,417064.0
12º,São José do Rio Preto,408258.0
13º,Mogi das Cruzes,387779.0
14º,Diadema,386089.0
15º,Jundiaí,370126.0
16º,Carapicuíba,369584.0
17º,Piracicaba,364571.0
18º,Baurú,343937.0
19º,São Vicente,332445.0
20º,Itaquaquecetuba,321770.0
21º,Franca,318640.0
22º,Guarujá,290752.0
23º,Taubaté,278686.0
24º,Limeira,276022.0
25º,Suzano,262480.0
26º,Praia Grande,262051.0
27º,Taboão da Serra,244528.0
28º,Sumaré,241311.0
29º,Barueri,240749.0
30º,Embu,240230.0
31º,São Carlos,221950.0
32º,Marília,216745.0
33º,Jacareí,211214.0
34º,Americana,210638.0
35º,Araraquara,208662.0
36º,Presidente Prudente,207610.0
37º,Indaiatuba,201619.0
38º,Cotia,201150.0
39º,Itapevi,200769.0
40º,Hortolândia,192692.0
41º,Rio Claro,186253.0
42º,Araçatuba,181579.0
43º,Santa Bárbara d'Oeste,180009.0
44º,Ferraz de Vasconcelos,168306.0
45º,Francisco Morato,154472.0
46º,Itu,154147.0
47º,Itapecerica da Serra,152614.0
48º,São Caetano do Sul,149263.0
49º,Pindamonhangaba,146995.0
50º,Bragança Paulista,146744.0
51º,Itapetininga,144377.0
52º,Mogi Guaçu,137245.0
53º,Franco da Rocha,131604.0
54º,Jaú,131040.0
55º,Botucatú,127328.0
56º,Atibaia,126603.0
57º,Araras,118843.0
58º,Cubatão,118720.0
59º,Ribeirão Pires,113068.0
60º,Catanduva,112820.0
61º,Barretos,112101.0
62º,Guaratinguetá,112072.0
63º,Sertãozinho,110074.0
64º,Santana de Parnaíba,108813.0
65º,Votorantim,108809.0
66º,Birigui,108728.0
67º,Jandira,108344.0
68º,Tatuí,107326.0
69º,Várzea Paulista,107089.0
70º,Valinhos,106793.0
71º,Poá,106013.0
72º,Salto,105516.0
73º,Ourinhos,103035.0
74º,Itatiba,101471.0
75º,Caraguatatuba,100840.0
76º,Assis,95144.0
77º,Leme,91756.0
78º,Itapeva,87753.0
79º,Itanhaém,87057.0
80º,Caieiras,86529.0
81º,Mogi Mirim,86505.0
82º,Caçapava,84752.0
83º,Votuporanga,84692.0
84º,São João da Boa Vista,83639.0
85º,Avaré,82934.0
86º,Lorena,82537.0
87º,Paulínia,82146.0
88º,Mairiporã,80956.0
89º,São Roque,78821.0
90º,Ubatuba,78801.0
91º,Cruzeiro,77039.0
92º,Matão,76786.0
93º,Bebedouro,75035.0
94º,Arujá,74905.0
95º,Campo Limpo Paulista,74074.0
96º,São Sebastião,73942.0
97º,Jaboticabal,71662.0
98º,Lins,71432.0
99º,Ibiúna,71217.0
100º,Pirassununga,70081.0
101º,Itapira,68537.0
102º,Mococa,66290.0
103º,Amparo,65829.0
104º,Fernandópolis,64696.0
105º,Cajamar,64114.0
106º,Vinhedo,63611.0
107º,Tupã,63476.0
108º,Embu-Guaçu,62769.0
109º,Lençóis Paulista,61428.0
110º,Peruíbe,59773.0
111º,Cosmópolis,58827.0
112º,Penápolis,58510.0
113º,Batatais,56476.0
114º,Andradina,55334.0
115º,Registro,54261.0
116º,Taquaritinga,53988.0
117º,Mirassol,53792.0
118º,Ibitinga,53158.0
119º,Piedade,52143.0
120º,São José do Rio Pardo,51900.0
121º,Porto Ferreira,51400.0
122º,Nova Odessa,51242.0
123º,Santa Isabel,50453.0
124º,Olímpia,50024.0
125º,Monte Mor,48949.0
126º,Porto Feliz,48893.0
127º,Capivari,48576.0
128º,Boituva,48314.0
129º,Itararé,47934.0
130º,Campos do Jordão,47789.0
131º,Bertioga,47645.0
132º,Jales,47012.0
133º,Monte Alto,46642.0
134º,São Joaquim da Barra,46512.0
135º,Mongaguá,46293.0
136º,Capão Bonito,46178.0
137º,Itupeva,44859.0
138º,Jaguariúna,44311.0
139º,Artur Nogueira,44177.0
140º,Rio Grande da Serra,43974.0
141º,Santa Cruz do Rio Pardo,43921.0
142º,Dracena,43258.0
143º,Mairinque,43223.0
144º,Garça,43115.0
145º,Vargem Grande Paulista,42997.0
146º,Paraguaçu Paulista,42278.0
147º,Espírito Santo do Pinhal,41907.0
148º,Cabreúva,41604.0
149º,Pedreira,41558.0
150º,Pederneiras,41497.0
151º,Presidente Epitácio,41318.0
152º,Tremembé,40984.0
153º,Pontal,40244.0
154º,Salto de Pirapora,40132.0
155º,Itápolis,40051.0
156º,Orlândia,39781.0
157º,Cerquilho,39617.0
158º,Vargem Grande do Sul,39266.0
159º,Serrana,38878.0
160º,Ituverava,38695.0
161º,São Manuel,38342.0
162º,Presidente Venceslau,37910.0
163º,Jardinópolis,37661.0
164º,Guaíra,37404.0
165º,Louveira,37125.0
166º,Tietê,36835.0
167º,Socorro,36686.0
168º,Novo Horizonte,36593.0
169º,Promissão,35674.0
170º,Guariba,35486.0
171º,Pitangueiras,35307.0
172º,Barra Bonita,35246.0
173º,Aparecida,35007.0
174º,Agudos,34524.0
175º,Américo Brasiliense,34478.0
176º,Adamantina,33797.0
177º,José Bonifácio,32763.0
178º,Aguaí,32148.0
179º,Cravinhos,31691.0
180º,São Pedro,31662.0
181º,Bariri,31593.0
182º,São Miguel Arcanjo,31450.0
183º,Descalvado,31056.0
184º,Osvaldo Cruz,30917.0
185º,Ibaté,30734.0
186º,Guararapes,30597.0
187º,Cachoeira Paulista,30091.0
188º,Santa Cruz das Palmeiras,29932.0
189º,Cândido Mota,29884.0
190º,Rio das Pedras,29501.0
191º,Santa Fé do Sul,29239.0
192º,Morro Agudo,29116.0
193º,Iguape,28841.0
194º,Rancharia,28804.0
195º,Juquitiba,28737.0
196º,Biritiba Mirim,28575.0
197º,Barrinha,28496.0
198º,Pirajú,28475.0
199º,Cajati,28372.0
200º,Casa Branca,28307.0
201º,Iperó,28300.0
202º,Ilhabela,28196.0
203º,Igarapava,27952.0
204º,Mirandópolis,27483.0
205º,Araçoiaba da Serra,27299.0
206º,Santa Rita do Passa Quatro,26478.0
207º,Pilar do Sul,26406.0
208º,Serra Negra,26387.0
209º,Guararema,25844.0
210º,Laranjal Paulista,25251.0
211º,Conchal,25229.0
